,Eval_Task_0,Eval_Task_1,Eval_Task_2,Eval_Task_3,Eval_Task_4,Eval_Task_5,Eval_Task_6,Eval_Task_7,Eval_Task_8,Eval_Task_9,Eval_Task_10,Eval_Task_11,Eval_Task_12,Eval_Task_13,Eval_Task_14,Eval_Task_15,Eval_Task_16,Eval_Task_17,Eval_Task_18,Eval_Task_19
After_Task_0,71.6,,,,,,,,,,,,,,,,,,,
After_Task_1,0.0,71.0,,,,,,,,,,,,,,,,,,
After_Task_2,0.0,0.0,67.4,,,,,,,,,,,,,,,,,
After_Task_3,0.0,0.0,0.0,68.0,,,,,,,,,,,,,,,,
After_Task_4,0.0,0.0,0.0,20.0,71.0,,,,,,,,,,,,,,,
After_Task_5,0.0,0.0,0.0,0.0,1.7999999999999998,63.800000000000004,,,,,,,,,,,,,,
After_Task_6,0.0,0.0,0.0,0.0,0.0,2.0,58.8,,,,,,,,,,,,,
After_Task_7,0.0,0.0,0.0,0.0,0.0,0.0,40.0,72.0,,,,,,,,,,,,
After_Task_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,,,,,,,,,,,
After_Task_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.8,,,,,,,,,,
After_Task_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,,,,,,,,,
After_Task_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,72.2,,,,,,,,
After_Task_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.39999999999999,,,,,,,
After_Task_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,,,,,,
After_Task_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8,,,,,
After_Task_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,63.0,,,,
After_Task_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,,,
After_Task_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,,
After_Task_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,
After_Task_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
