task_id,epoch,train_loss,train_accuracy,samples_processed,elapsed_seconds
0,0,1.0455,67.98,5000,42.36
1,0,1.9043,60.12,5000,49.04
2,0,2.7352,43.0,5000,47.87
3,0,3.7815,41.76,5000,49.11
4,0,4.0754,40.24,5000,47.81
5,0,5.5902,32.08,5000,44.06
6,0,6.348,38.84,5000,46.15
7,0,7.0423,34.68,5000,47.01
8,0,6.9614,32.82,5000,49.19
9,0,7.7857,33.78,5000,47.96
10,0,9.9866,23.52,5000,50.63
11,0,8.8538,27.5,5000,54.01
12,0,9.5422,21.46,5000,53.69
13,0,9.945,13.18,5000,49.11
14,0,10.3713,14.32,5000,46.28
15,0,10.889,17.6,5000,44.76
16,0,14.1165,6.54,5000,42.64
17,0,11.8543,15.68,5000,53.47
18,0,23.886,4.62,5000,37.83
19,0,38.7197,4.14,5000,24.54
