,Eval_Task_0,Eval_Task_1,Eval_Task_2,Eval_Task_3,Eval_Task_4,Eval_Task_5,Eval_Task_6,Eval_Task_7,Eval_Task_8,Eval_Task_9,Eval_Task_10,Eval_Task_11,Eval_Task_12,Eval_Task_13,Eval_Task_14,Eval_Task_15,Eval_Task_16,Eval_Task_17,Eval_Task_18,Eval_Task_19
After_Task_0,57.8,,,,,,,,,,,,,,,,,,,
After_Task_1,,52.400000000000006,,,,,,,,,,,,,,,,,,
After_Task_2,,,55.2,,,,,,,,,,,,,,,,,
After_Task_3,,,,57.99999999999999,,,,,,,,,,,,,,,,
After_Task_4,,,,,48.8,,,,,,,,,,,,,,,
After_Task_5,,,,,,48.0,,,,,,,,,,,,,,
After_Task_6,,,,,,,45.800000000000004,,,,,,,,,,,,,
After_Task_7,,,,,,,,50.8,,,,,,,,,,,,
After_Task_8,,,,,,,,,39.2,,,,,,,,,,,
After_Task_9,,,,,,,,,,48.0,,,,,,,,,,
After_Task_10,,,,,,,,,,,54.0,,,,,,,,,
After_Task_11,,,,,,,,,,,,51.6,,,,,,,,
After_Task_12,,,,,,,,,,,,,49.0,,,,,,,
After_Task_13,,,,,,,,,,,,,,33.2,,,,,,
After_Task_14,,,,,,,,,,,,,,,59.0,,,,,
After_Task_15,,,,,,,,,,,,,,,,47.599999999999994,,,,
After_Task_16,,,,,,,,,,,,,,,,,57.8,,,
After_Task_17,,,,,,,,,,,,,,,,,,43.0,,
After_Task_18,,,,,,,,,,,,,,,,,,,53.800000000000004,
After_Task_19,57.8,52.400000000000006,55.2,57.99999999999999,48.8,48.0,45.800000000000004,50.8,39.2,48.0,54.0,51.6,49.0,33.2,59.0,47.599999999999994,57.8,43.0,53.800000000000004,54.2
