,Eval_Task_0,Eval_Task_1,Eval_Task_2,Eval_Task_3,Eval_Task_4,Eval_Task_5,Eval_Task_6,Eval_Task_7,Eval_Task_8,Eval_Task_9,Eval_Task_10,Eval_Task_11,Eval_Task_12,Eval_Task_13,Eval_Task_14,Eval_Task_15,Eval_Task_16,Eval_Task_17,Eval_Task_18,Eval_Task_19
After_Task_0,71.6,,,,,,,,,,,,,,,,,,,
After_Task_1,43.6,61.8,,,,,,,,,,,,,,,,,,
After_Task_2,18.4,23.599999999999998,67.2,,,,,,,,,,,,,,,,,
After_Task_3,4.0,5.4,15.2,70.19999999999999,,,,,,,,,,,,,,,,
After_Task_4,40.0,20.0,60.0,9.8,73.4,,,,,,,,,,,,,,,
After_Task_5,0.0,0.0,0.0,40.0,9.2,67.4,,,,,,,,,,,,,,
After_Task_6,0.0,0.0,0.0,0.0,20.0,12.0,61.6,,,,,,,,,,,,,
After_Task_7,0.0,0.0,0.0,0.0,0.0,40.0,10.8,75.6,,,,,,,,,,,,
After_Task_8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.799999999999999,73.2,,,,,,,,,,,
After_Task_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,12.4,79.0,,,,,,,,,,
After_Task_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,25.2,79.60000000000001,,,,,,,,,
After_Task_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,13.4,80.60000000000001,,,,,,,,
After_Task_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,17.2,73.6,,,,,,,
After_Task_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.4,63.800000000000004,,,,,,
After_Task_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.6,77.2,,,,,
After_Task_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,71.39999999999999,,,,
After_Task_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,80.60000000000001,,,
After_Task_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.8,69.8,,
After_Task_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,61.8,
After_Task_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0
