task_id,epoch,train_loss,train_accuracy,samples_processed,elapsed_seconds
0,0,1.0455,67.98,5000,42.93
1,0,4.2435,45.34,5000,47.36
2,0,3.6639,50.3,5000,49.79
3,0,3.2984,54.3,5000,48.76
4,0,3.0136,60.82,5000,44.65
5,0,3.3312,53.16,5000,47.51
6,0,3.3715,51.18,5000,52.01
7,0,3.0143,59.54,5000,46.04
8,0,2.9004,61.28,5000,48.35
9,0,2.7153,65.62,5000,51.3
10,0,2.9755,59.84,5000,51.43
11,0,2.6868,65.68,5000,51.69
12,0,2.9271,57.42,5000,51.23
13,0,3.1596,50.56,5000,53.2
14,0,2.9177,60.46,5000,48.54
15,0,2.9463,56.2,5000,44.91
16,0,2.9176,60.22,5000,43.0
17,0,2.9917,54.66,5000,43.71
18,0,3.3082,49.24,5000,50.83
19,0,3.1428,49.98,5000,37.04
