task_id,epoch,train_loss,train_accuracy,samples_processed,elapsed_seconds
0,0,1.6806,53.04,20000,79.15
0,1,1.1275,66.69,20000,150.94
0,2,0.7385,77.66,20000,227.19
0,3,0.3975,87.52,20000,320.73
0,4,0.1909,94.52,20000,410.89
1,0,3.8255,50.53,20000,122.16
1,1,1.5367,71.6,20000,241.65
1,2,0.9141,81.7,20000,356.9
1,3,0.513,90.44,20000,473.23
1,4,0.3,95.66,20000,591.83
2,0,3.639,48.85,20000,112.99
2,1,1.6481,70.3,20000,222.97
2,2,0.9779,81.6,20000,341.43
2,3,0.5542,90.77,20000,451.5
2,4,0.3544,95.86,20000,559.94
3,0,3.3221,46.09,20000,115.77
3,1,1.6923,67.0,20000,231.24
3,2,1.0559,79.83,20000,341.35
3,3,0.6156,90.08,20000,448.86
3,4,0.3942,95.44,20000,553.88
4,0,3.0222,49.31,20000,128.3
4,1,1.5022,71.02,20000,243.43
4,2,0.9762,82.45,20000,350.46
4,3,0.5831,90.89,20000,461.76
4,4,0.3781,95.69,20000,584.8
