,Eval_Task_0,Eval_Task_1,Eval_Task_2,Eval_Task_3,Eval_Task_4,Eval_Task_5,Eval_Task_6,Eval_Task_7,Eval_Task_8,Eval_Task_9,Eval_Task_10,Eval_Task_11,Eval_Task_12,Eval_Task_13,Eval_Task_14,Eval_Task_15,Eval_Task_16,Eval_Task_17,Eval_Task_18,Eval_Task_19
After_Task_0,71.6,,,,,,,,,,,,,,,,,,,
After_Task_1,0.0,75.4,,,,,,,,,,,,,,,,,,
After_Task_2,0.0,0.0,54.0,,,,,,,,,,,,,,,,,
After_Task_3,0.0,0.0,0.0,39.4,,,,,,,,,,,,,,,,
After_Task_4,0.0,0.0,0.0,0.0,39.800000000000004,,,,,,,,,,,,,,,
After_Task_5,0.0,0.0,0.0,0.0,0.0,18.2,,,,,,,,,,,,,,
After_Task_6,0.0,0.0,0.0,0.0,0.0,0.0,10.8,,,,,,,,,,,,,
After_Task_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,,,,,,,,,,,,
After_Task_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,
After_Task_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,,,,,,,,,,
After_Task_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.599999999999998,,,,,,,,,
After_Task_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,,,,,,,,
After_Task_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.200000000000001,,,,,,,
After_Task_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.200000000000001,,,,,,
After_Task_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,
After_Task_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,,,,
After_Task_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,,,
After_Task_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.200000000000001,,
After_Task_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.4000000000000001,
After_Task_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,20.0
