task_id,epoch,train_loss,train_accuracy,samples_processed,elapsed_seconds
0,0,1.0455,67.98,5000,28.86
1,0,1.6432,59.2,5000,25.31
2,0,2.386,35.7,5000,30.58
3,0,2.8071,18.72,5000,33.78
4,0,2.7668,27.42,5000,29.98
5,0,3.274,11.06,5000,30.97
6,0,3.3153,8.28,5000,28.37
7,0,3.4133,9.36,5000,27.66
8,0,3.4586,10.5,5000,26.08
9,0,3.3239,20.58,5000,28.12
10,0,3.981,12.18,5000,25.37
11,0,3.7175,17.22,5000,23.29
12,0,4.0647,7.48,5000,23.09
13,0,4.5598,6.66,5000,22.75
14,0,5.0937,6.58,5000,24.85
15,0,5.6603,3.04,5000,27.65
16,0,5.9181,1.96,5000,26.23
17,0,5.7054,2.9,5000,29.37
18,0,6.1325,0.2,5000,29.87
19,0,6.4413,0.06,5000,27.82
