,Eval_Task_0,Eval_Task_1,Eval_Task_2,Eval_Task_3,Eval_Task_4,Eval_Task_5,Eval_Task_6,Eval_Task_7,Eval_Task_8,Eval_Task_9,Eval_Task_10,Eval_Task_11,Eval_Task_12,Eval_Task_13,Eval_Task_14,Eval_Task_15,Eval_Task_16,Eval_Task_17,Eval_Task_18,Eval_Task_19
After_Task_0,71.6,,,,,,,,,,,,,,,,,,,
After_Task_1,34.4,74.8,,,,,,,,,,,,,,,,,,
After_Task_2,28.799999999999997,23.400000000000002,71.39999999999999,,,,,,,,,,,,,,,,,
After_Task_3,19.2,17.8,13.200000000000001,70.6,,,,,,,,,,,,,,,,
After_Task_4,13.8,11.600000000000001,5.6000000000000005,7.000000000000001,73.4,,,,,,,,,,,,,,,
After_Task_5,13.4,9.2,4.6,5.800000000000001,10.4,75.8,,,,,,,,,,,,,,
After_Task_6,11.0,4.6,4.6,5.0,5.800000000000001,3.2,76.0,,,,,,,,,,,,,
After_Task_7,10.8,3.8,2.4,4.2,3.4000000000000004,3.2,1.6,79.80000000000001,,,,,,,,,,,,
After_Task_8,5.0,2.6,100.0,2.8000000000000003,2.8000000000000003,2.0,80.0,3.0,76.0,,,,,,,,,,,
After_Task_9,10.2,4.2,2.6,2.8000000000000003,3.2,1.6,0.0,40.0,1.4000000000000001,76.6,,,,,,,,,,
After_Task_10,10.6,6.0,4.8,3.4000000000000004,1.7999999999999998,80.0,20.0,100.0,2.4,3.5999999999999996,81.0,,,,,,,,,
After_Task_11,7.3999999999999995,6.0,3.8,1.7999999999999998,2.0,1.4000000000000001,0.0,1.2,80.0,40.0,1.2,80.4,,,,,,,,
After_Task_12,5.4,2.6,2.8000000000000003,2.0,20.0,1.2,0.0,40.0,20.0,20.0,60.0,20.0,74.2,,,,,,,
After_Task_13,5.6000000000000005,3.4000000000000004,3.2,3.0,1.2,40.0,0.0,20.0,60.0,0.0,1.4000000000000001,0.0,60.0,65.2,,,,,,
After_Task_14,7.6,5.0,1.2,1.6,2.6,0.0,0.0,80.0,0.0,20.0,20.0,0.0,1.2,0.0,75.0,,,,,
After_Task_15,4.3999999999999995,2.0,60.0,1.6,1.4000000000000001,20.0,20.0,20.0,80.0,0.0,20.0,0.0,0.0,0.0,20.0,74.8,,,,
After_Task_16,2.8000000000000003,3.2,20.0,2.1999999999999997,2.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0,75.2,,,
After_Task_17,6.0,3.8,20.0,1.6,1.6,0.0,0.0,1.7999999999999998,1.4000000000000001,0.0,0.0,0.0,1.4000000000000001,0.0,20.0,20.0,80.0,69.6,,
After_Task_18,3.8,3.5999999999999996,100.0,80.0,80.0,60.0,0.0,80.0,1.2,0.0,0.0,0.0,1.6,0.0,20.0,0.0,100.0,0.0,65.0,
After_Task_19,3.2,100.0,20.0,100.0,2.0,60.0,0.0,1.4000000000000001,80.0,60.0,0.0,0.0,1.6,20.0,60.0,20.0,0.0,20.0,20.0,69.19999999999999
