task_id,epoch,train_loss,train_accuracy,samples_processed,elapsed_seconds
0,0,1.0455,67.98,5000,21.2
1,0,1.8867,62.04,5000,27.73
2,0,1.9153,57.18,5000,28.44
3,0,1.8617,57.24,5000,29.02
4,0,1.7312,63.36,5000,30.29
5,0,1.8057,61.66,5000,66.58
6,0,1.8471,60.5,5000,68.4
7,0,1.7731,64.0,5000,65.37
8,0,1.8256,61.84,5000,63.44
9,0,1.6961,66.74,5000,66.01
10,0,1.8595,62.7,5000,61.2
11,0,1.7161,67.82,5000,64.85
12,0,1.9205,58.62,5000,62.84
13,0,2.1399,51.78,5000,61.39
14,0,1.9924,63.06,5000,63.02
15,0,2.0427,57.22,5000,60.23
16,0,2.0325,60.48,5000,57.99
17,0,2.0637,52.68,5000,54.76
18,0,2.6329,50.2,5000,55.63
19,0,2.3837,53.1,5000,66.7
